iter	Passed	Remaining
1598	13056	35935
1599	13063	35923
1600	13070	35913
1601	13078	35903
1602	13085	35892
1603	13092	35882
1604	13100	35871
1605	13107	35862
1606	13114	35851
1607	13122	35841
1608	13129	35830
1609	13136	35820
1610	13144	35811
1611	13151	35799
1612	13158	35787
1613	13165	35776
1614	13172	35765
1615	13179	35753
1616	13186	35742
1617	13193	35731
1618	13199	35718
1619	13206	35707
1620	13213	35696
1621	13221	35685
1622	13227	35673
1623	13235	35663
1624	13242	35653
1625	13249	35642
1626	13256	35630
1627	13263	35618
1628	13270	35607
1629	13276	35594
1630	13284	35584
1631	13291	35573
1632	13298	35562
1633	13304	35550
1634	13311	35538
1635	13318	35527
1636	13325	35516
1637	13333	35506
1638	13339	35494
1639	13347	35483
1640	13353	35472
1641	13361	35461
1642	13368	35450
1643	13375	35440
1644	13382	35428
1645	13389	35416
1646	13396	35405
1647	13402	35394
1648	13409	35383
1649	13416	35371
1650	13424	35361
1651	13430	35349
1652	13438	35338
1653	13445	35330
1654	13453	35319
1655	13460	35309
1656	13467	35297
1657	13474	35286
1658	13480	35274
1659	13655	35700
1660	13662	35689
1661	13669	35677
1662	13676	35666
1663	13683	35654
1664	13690	35645
1665	13697	35632
1666	13704	35622
1667	13711	35610
1668	13718	35598
1669	13725	35587
